PC0,PC1,PC2,PC3,PC4,PC5,PC6,Distillery
-0.65183345,-1.198616267,0.165373901,0.776190757,-0.144418858,0.224174335,-0.029411327,Aberfeldy
-2.299146175,-3.726133464,-1.358948141,-0.866907641,-0.689620933,0.501199648,0.195418202,Aberlour
-1.592810803,0.660210013,0.295472274,1.096359396,0.015266841,-0.481004818,0.040488058,AnCnoc
5.382066141,-0.243446796,-1.203085953,0.74394191,0.194228056,0.030241988,1.856718238,Ardbeg
0.120939887,-0.410385759,0.302686825,1.263167087,-1.487249761,0.206194576,0.539880256,Ardmore
0.098830963,1.388469744,1.195442744,-1.645264067,0.284928698,0.206170889,0.761101692,ArranIsleOf
-2.694710118,1.85467146,-1.111181133,1.276798559,0.311220448,-0.463382913,-0.815507135,Auchentoshan
-1.115563375,-1.213871357,1.299012037,0.031426307,-0.266355497,-0.375654349,0.142595556,Auchroisk
-0.856885942,0.989520026,0.489936102,1.672028299,-0.023302792,-0.532295272,0.080449768,Aultmore
0.992366859,0.868879324,0.212290053,-0.422289937,1.782294583,-0.109756525,-0.317704005,Balblair
0.435155223,-2.360661617,2.932978872,-0.303244645,2.380212767,1.155801868,-1.071629827,Balmenach
-0.872844177,-1.07586956,-0.98126623,-1.269785189,-0.504326698,0.387927457,1.508985635,Belvenie
0.158781423,-1.388672431,-0.929160148,0.351733994,0.650401851,0.628067245,0.329400709,BenNevis
-1.157654215,0.345039624,-1.914433304,-0.943358862,0.0198295,-0.561859591,1.198163506,Benriach
-0.887864942,-1.941529811,-0.471922183,1.18390952,-1.247684034,0.485610867,0.686058358,Benrinnes
-0.526438951,-0.942308727,-0.83417549,0.366719422,0.183809284,0.838031745,-0.013770251,Benromach
-1.121638861,2.009366413,-0.792089241,-0.514954735,-0.329197382,-0.800736358,0.190133153,Bladnoch
-0.29026526,-1.028556643,-0.554324753,0.205043441,0.328779795,0.137880846,-0.450403026,BlairAthol
1.218266396,-0.159374037,-0.291545235,-0.673644341,0.652935253,1.888404032,0.610193438,Bowmore
0.492235157,-0.285911734,-1.689875138,1.368189363,-0.050694318,1.063485537,0.210521061,Bruichladdich
-1.005261892,1.216609005,-0.642195805,0.313364772,-0.263079247,-0.049421657,-0.06729923,Bunnahabhain
4.846100172,0.41393212,-0.966496404,0.473474772,0.221421818,0.686081021,-1.725072338,Caol Ila
-1.451799736,1.189232611,0.307146463,0.438975468,0.052660723,0.048313797,-0.347653859,Cardhu
4.641134611,0.643671043,-0.663735665,-0.886315409,0.182744342,-1.02922724,-0.978961031,Clynelish
-0.101659062,-0.20640503,-1.076759953,-0.337096709,-1.364045736,1.955715899,-2.92569508,Craigallechie
0.183905865,1.08909084,0.150278627,0.464223712,0.499555486,-0.433602586,-0.417310198,Craigganmore
0.763253282,-2.26150117,-0.039601823,0.051107595,0.600857868,-0.596978786,0.161280826,Dailuaine
0.707107119,-1.497407462,-0.9648871,-0.471869019,0.493386247,-1.508627781,0.641096118,Dalmore
-0.457191695,0.348943909,-0.61513297,0.360111545,-0.280464336,0.361827674,0.881105308,Dalwhinnie
-0.941090823,-0.584349668,-0.276914855,0.530843996,-1.660154579,-0.6311992,1.277930152,Deanston
-0.339675167,1.951856804,0.833485323,0.260094001,-0.085999434,-1.34075128,0.266736841,Dufftown
-1.651547769,-1.15506815,1.115116508,1.678986367,0.540773951,0.664720766,-1.328579834,Edradour
1.424535669,0.638240575,1.762526977,-2.089613944,-2.825233251,-0.090320808,-0.851551293,GlenDeveronMacduff
-1.508947589,0.441405179,0.602344478,-0.952182381,0.880260461,0.453583044,-0.132239453,GlenElgin
1.18181589,0.281626231,-2.791366856,-0.930673876,0.287047639,0.006434256,0.736959169,GlenGarioch
-1.026158942,1.195449676,1.637452793,1.258626071,0.704327079,-0.851723995,0.013889925,GlenGrant
-0.383827537,-0.141914283,0.74736619,-0.708700102,1.440999604,-0.029367389,-0.308351227,GlenKeith
-1.93460041,0.635218025,-1.403983636,0.377471558,0.405796698,0.960557071,-1.292546465,GlenMoray
-0.373541266,-0.428582833,-0.776259568,-0.500606721,0.262183801,-0.35924102,0.343574223,GlenOrd
1.349299227,0.388642486,1.336364469,1.666562345,-0.601497119,0.007158566,0.618001663,GlenScotia
