0,1,2,3,4,5,6,7,8,9,10
Balblair,Aberlour,GlenGarioch,Clynelish,Balmenach,AnCnoc,ArranIsleOf,Dailuaine,Ardbeg,Craigallechie,Aberfeldy
Bowmore,Belvenie,RoyalBrackla,Lagavulin,Mortlach,Auchentoshan,Benriach,Dalmore,Caol Ila,GlenDeveronMacduff,Ardmore
Bruichladdich,Benrinnes,Tullibardine,Laphroig,,Aultmore,GlenElgin,Glendronach,Talisker,OldFettercairn,Auchroisk
GlenScotia,Deanston,,,,Bladnoch,GlenSpey,Macallan,,OldPulteney,BenNevis
Glenmorangie,Glendullan,,,,Bunnahabhain,Glenallachie,RoyalLochnagar,,,Benromach
Highland Park,Glenfarclas,,,,Cardhu,Glenfiddich,,,,BlairAthol
Isle of Jura,Glenlivet,,,,Craigganmore,Glenkinchie,,,,Dalwhinnie
Loch Lomond,Strathisla,,,,Dufftown,Glenrothes,,,,Edradour
Oban,,,,,GlenGrant,Inchgower,,,,GlenKeith
Springbank,,,,,GlenMoray,Linkwood,,,,GlenOrd
Teaninich,,,,,Glengoyne,Miltonduff,,,,Glenturret
Tormore,,,,,Glenlossie,Speyburn,,,,Knochando
,,,,,Mannochmore,Tomatin,,,,Longmorn
,,,,,Speyside,Tomintoul,,,,Scapa
,,,,,Strathmill,,,,,
,,,,,Tamdhu,,,,,
,,,,,Tamnavulin,,,,,
,,,,,Tobermory,,,,,
